Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.548830511752,0.0353437826845,0.0470763519277,0.0,0.000859069288517,0.0479354212163,0.000859069288517,0.051298941822,0.00853938354461,0.0389770129118,0.299196969621,0.0930877826367
 01/01  02:00:00,0.509730685907,0.033714519307,0.0937355149535,0.0,0.00171052553655,0.0954460404901,0.00171052553655,0.0299243937853,0.00498130633154,0.0366038093052,0.275481597329,0.0574985386662
 01/01  03:00:00,0.559841332394,0.0260902648037,0.165925552188,0.0,0.00302788003377,0.168953432221,0.00302788003377,0.0213745639571,0.003558075888,0.0345384536427,0.272287607795,0.0493341988901
 01/01  04:00:00,0.576206350005,0.0258269495104,0.1838679195,0.0,0.00335529998223,0.187223219483,0.00335529998223,0.0213745639571,0.003558075888,0.0332769556732,0.268454820353,0.0525237146502
 01/01  05:00:00,0.648337650145,0.0325350862223,0.235958506845,0.0,0.00430587117087,0.240264378016,0.00430587117087,0.0213745639571,0.003558075888,0.0338304829616,0.258313903582,0.0812012457397
 01/01  06:00:00,0.823417415118,0.0419761444586,0.24952845799,0.0,0.00455350140979,0.2540819594,0.00455350140979,0.0213745639571,0.003558075888,0.0360452309657,0.288257555466,0.210305029441
 01/01  07:00:00,1.00475600826,0.074652024733,0.109009523258,0.0,0.00198925213514,0.110998775393,0.00198925213514,0.0491615002853,0.00818357405654,0.0428581977933,0.333053258684,0.450705702049
 01/01  08:00:00,1.05395203625,0.113066091931,0.0,0.0,0.0,0.0,0.0,0.100460442107,0.0167229531842,0.0522011846794,0.353894040395,0.505878415883
 01/01  09:00:00,0.977543125376,0.116692270773,0.0210676021006,0.0,0.000384450561826,0.0214520526624,0.000384450561826,0.0961855325,0.016011338625,0.0605081669804,0.299196969621,0.474394064988
 01/01  10:00:00,0.821226276459,0.118086676095,0.0224999306956,0.0,0.000410588303105,0.0229105189988,0.000410588303105,0.0491615002853,0.00818357405654,0.0637657254319,0.254640815618,0.412769142068
 01/01  11:00:00,0.727091805574,0.106658753127,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0597797549385,0.260629545995,0.349515478633
